Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Ugne                J.                  7      10     3      5      8      7         
Daumantas           L.                  4      4      8      4      5      3         
Dominykas           E.                  8      2      8      2      3      4         
Lukas               D.                  5      6      4      8      3      8         
Jonas               K.                  9      4      1      4      10     8         
Jokubas             J.                  5      3      1      9      4      7         
Adele               U.                  8      7      8      4      4      10        
Daumantas           F.                  1      1      8      9      9      8         
Motiejus            D.                  4      6      8      2      10     6         
Adomas              D.                  6      10     10     5      9      1         
Andrius             A.                  8      2      7      4      8      8         
Amelija             O.                  3      9      5      3      9      4         
Rokas               S.                  10     2      4      8      10     9         
Tomas               B.                  9      7      7      2      2      8         
Markas              Q.                  1      10     9      8      4      4         
Matas               F.                  6      4      9      8      10     7         
Andrius             T.                  7      9      10     10     7      10        
Jonas               E.                  4      4      8      5      9      8         
Motiejus            F.                  2      6      3      10     4      10        
Matas               R.                  3      4      5      2      4      3         
Adele               K.                  4      9      5      3      5      4         
Rokas               Q.                  4      7      9      6      1      8         
Rokas               D.                  6      2      5      1      7      9         
Juozas              A.                  3      7      1      10     5      4         
Jonas               G.                  1      4      5      7      7      4         
Benas               I.                  2      6      1      9      1      5         
Lukne               H.                  8      2      2      4      3      7         
Tomas               M.                  8      5      1      4      4      3         
Kestas              D.                  3      6      5      6      2      7         
Lukas               B.                  9      5      2      8      8      9         
Markas              R.                  4      10     5      4      1      2         
Kestas              O.                  8      8      2      2      4      10        
Benas               G.                  5      7      7      2      1      4         
Adomas              A.                  9      8      6      2      1      7         
Liepa               G.                  3      2      7      7      7      9         
Nojus               O.                  6      5      4      5      7      1         
Tomas               C.                  1      2      1      7      9      4         
Tomas               T.                  1      1      7      6      3      7         
Adele               S.                  1      7      7      9      4      5         
Tomas               S.                  2      5      3      2      7      10        
Dominykas           V.                  2      8      2      7      8      3         
Markas              C.                  3      1      2      6      10     3         
Andrius             B.                  6      7      4      4      9      1         
Adomas              O.                  4      1      7      1      7      7         
Ema                 T.                  7      6      1      10     5      4         
Amelija             U.                  10     4      9      6      9      5         
Rokas               R.                  4      4      6      2      7      6         
Emilija             R.                  7      7      1      8      2      6         
Lukne               N.                  10     4      3      1      1      3         
Paulius             J.                  7      5      2      3      7      8         
Liepa               U.                  3      10     6      4      3      9         
Andrius             M.                  9      5      9      9      1      8         
Barbora             T.                  10     6      9      4      7      2         
Ema                 L.                  5      1      5      8      6      9         
Daumantas           V.                  7      2      10     6      5      7         
Petras              G.                  7      1      9      9      9      7         
Amelija             S.                  2      4      5      7      3      5         
Dominykas           F.                  3      6      4      2      10     5         
Nojus               J.                  10     7      7      2      1      8         
Rokas               C.                  1      10     1      3      2      6         
Petras              K.                  4      4      2      6      6      5         
Tomas               D.                  3      3      6      4      5      9         
Adomas              O.                  5      2      2      6      6      7         
Kestas              J.                  2      10     9      3      7      8         
Dominykas           R.                  6      9      8      3      5      7         
Lukne               M.                  6      10     3      9      6      9         
Adomas              J.                  7      7      1      5      3      6         
Liepa               C.                  2      5      8      4      8      9         
Adele               Q.                  6      3      8      10     3      10        
Tomas               S.                  5      8      7      10     9      9         
Lukne               Q.                  2      7      1      3      7      3         
Benas               T.                  9      8      2      3      5      5         
Ugne                P.                  3      5      6      2      3      3         
Lukas               A.                  4      5      2      2      6      7         
Markas              J.                  1      10     10     4      10     6         
Matas               Q.                  8      1      6      3      2      5         
Nojus               M.                  9      4      10     8      10     8         
Markas              H.                  9      4      7      6      2      3         
Petras              I.                  4      6      5      4      5      6         
Rokas               F.                  6      10     10     5      10     5         
Olivija             O.                  5      3      6      7      3      7         
Lukne               D.                  3      6      2      1      2      3         
Nojus               S.                  8      2      2      4      8      1         
Liepa               A.                  9      4      1      5      6      2         
Lukas               H.                  5      3      10     10     10     8         
Dominykas           Q.                  6      9      8      9      5      2         
Ugne                V.                  10     2      2      9      1      10        
Andrius             Q.                  7      2      10     10     4      1         
Rokas               I.                  10     1      6      9      4      1         
Adomas              I.                  10     3      8      10     2      3         
Lukas               G.                  4      1      8      8      5      6         
Petras              G.                  1      7      3      4      7      10        
Petras              A.                  5      7      5      2      1      10        
Emilija             I.                  1      3      9      2      2      3         
Jokubas             B.                  4      4      8      7      3      8         
Markas              N.                  4      5      8      4      7      6         
Jonas               O.                  4      10     9      7      9      5         
Olivija             L.                  6      4      5      4      9      1         
Dominykas           P.                  6      5      6      5      4      10        
Juozas              Q.                  7      6      4      6      7      8         
Olivija             A.                  9      7      5      1      1      4         
Ema                 Q.                  7      9      1      1      5      7         
Motiejus            N.                  6      9      3      9      8      6         
Adele               R.                  5      5      8      9      1      1         
Paulius             P.                  4      9      2      3      2      6         
Benas               N.                  2      1      6      4      6      4         
Adele               P.                  6      2      6      6      7      5         
Jonas               S.                  3      3      4      1      10     6         
Adomas              M.                  2      3      5      8      7      7         
Liepa               B.                  1      9      6      4      3      5         
Daumantas           G.                  8      6      7      6      1      9         
Paulius             G.                  1      10     1      3      6      2         
Olivija             L.                  6      10     3      9      10     8         
Benas               P.                  10     3      2      8      4      7         
Barbora             E.                  1      1      3      4      2      2         
Jonas               T.                  8      9      1      8      10     7         
Nojus               M.                  4      4      4      5      7      8         
Amelija             C.                  1      1      3      10     4      9         
Lukas               V.                  9      5      10     2      4      9         
Motiejus            B.                  1      3      10     4      6      10        
Motiejus            V.                  5      3      8      9      10     1         
Adele               J.                  10     3      7      1      10     8         
Adomas              F.                  6      2      7      7      4      1         
Benas               V.                  10     2      1      7      7      5         
Jonas               R.                  6      2      6      4      2      2         
Juozas              V.                  2      5      10     1      5      9         
Ugne                C.                  3      5      3      4      1      7         
Liepa               P.                  8      1      6      4      4      3         
Markas              D.                  6      4      3      10     3      4         
Adele               C.                  1      10     2      4      8      5         
Jokubas             I.                  4      8      7      10     10     3         
Olivija             G.                  2      4      1      1      6      5         
Olivija             F.                  1      4      9      8      3      1         
Amelija             S.                  7      9      7      4      9      1         
Adomas              M.                  5      6      9      6      5      6         
Jokubas             B.                  9      9      8      10     3      2         
Lukas               D.                  4      4      3      2      4      2         
Petras              D.                  7      9      7      7      9      5         
Adomas              H.                  1      4      9      9      9      6         
Lukas               K.                  4      7      2      10     7      10        
Liepa               R.                  10     5      8      1      8      2         
Lukne               U.                  6      3      3      4      5      1         
Ema                 V.                  1      7      2      9      5      8         
Nojus               N.                  8      1      6      1      6      6         
Paulius             H.                  3      10     7      4      8      10        
Adele               O.                  6      7      8      4      9      7         
Daumantas           V.                  8      2      8      1      3      10        
Benas               F.                  7      6      10     3      10     4         
Tomas               D.                  5      10     5      10     4      5         
Benas               F.                  7      10     4      9      8      4         
Lukas               L.                  6      4      6      8      8      2         
Jonas               L.                  3      5      6      8      3      6         
Petras              L.                  8      8      3      9      6      8         
Nojus               S.                  4      5      6      5      1      6         
Olivija             B.                  5      7      6      8      4      2         
Barbora             C.                  2      9      3      10     9      1         
Juozas              T.                  2      3      6      9      1      10        
Jokubas             V.                  7      4      7      5      3      1         
Liepa               Q.                  6      7      10     9      9      6         
Petras              A.                  4      1      8      7      2      10        
Adele               R.                  10     3      9      4      2      4         
Kestas              S.                  3      10     6      9      10     6         
Jonas               C.                  4      2      5      7      10     4         
Olivija             Q.                  1      5      3      8      2      8         
Barbora             T.                  4      3      1      3      5      7         
Petras              C.                  4      6      7      4      7      2         
Markas              H.                  1      5      9      6      3      7         
Ema                 A.                  4      2      5      4      3      5         
Andrius             I.                  1      8      2      5      3      3         
Adomas              I.                  8      7      4      9      1      10        
Ema                 H.                  8      4      7      5      9      2         
Rokas               U.                  3      2      7      10     10     6         
Juozas              V.                  9      9      5      1      5      9         
Olivija             C.                  2      4      10     2      10     3         
Jokubas             U.                  1      4      1      1      7      3         
Ema                 I.                  6      8      5      2      7      1         
Andrius             O.                  3      6      5      1      5      6         
Jokubas             U.                  8      2      4      10     5      6         
Ema                 C.                  9      2      1      2      7      10        
Matas               H.                  7      5      3      7      9      5         
Jonas               A.                  1      5      4      4      4      5         
Amelija             C.                  1      9      9      9      6      9         
Rokas               V.                  4      1      10     5      2      9         
Rokas               T.                  7      2      1      4      10     10        
Ema                 F.                  3      7      2      10     5      4         
Paulius             T.                  10     1      3      4      6      4         
Olivija             F.                  3      5      2      5      3      6         
Juozas              B.                  4      1      9      4      8      3         
Paulius             N.                  10     7      7      2      5      4         
Markas              S.                  10     10     8      9      8      2         
Benas               O.                  7      10     10     9      5      1         
Liepa               G.                  4      7      7      6      2      5         
Motiejus            J.                  2      10     7      2      6      9         
Tomas               E.                  5      6      10     6      1      5         
Juozas              D.                  4      5      3      3      6      2         
Markas              J.                  7      4      6      7      2      7         
Benas               T.                  9      1      3      1      7      7         
Lukas               D.                  2      4      4      5      9      4         
Adomas              D.                  2      4      8      6      2      8         
Benas               D.                  3      9      7      10     10     10        
Amelija             U.                  2      8      2      10     6      4         
Emilija             L.                  3      4      1      3      5      7         
Benas               F.                  6      7      6      6      6      4         
Andrius             J.                  4      6      5      10     2      7         
Liepa               V.                  1      1      1      10     1      8         
Nojus               O.                  10     10     4      3      1      1         
Juozas              K.                  2      1      8      6      2      6         
Juozas              N.                  8      8      2      5      4      2         
Jokubas             F.                  1      4      3      4      9      3         
Motiejus            V.                  10     7      5      7      9      9         
Jonas               C.                  9      10     9      10     7      8         
Amelija             O.                  6      3      7      2      10     2         
Juozas              U.                  9      10     10     3      6      5         
Benas               O.                  8      2      5      10     10     7         
Petras              O.                  4      2      2      4      1      1         
Ema                 B.                  5      8      8      8      9      2         
Lukas               U.                  1      10     8      2      5      5         
Adele               U.                  2      3      8      2      7      8         
Adomas              V.                  4      7      4      4      3      1         
Nojus               I.                  2      10     5      8      1      5         
Adomas              R.                  2      4      1      10     9      7         
Olivija             T.                  1      10     10     1      6      1         
Jonas               B.                  9      6      10     2      4      5         
Tomas               A.                  2      5      1      9      9      10        
Ema                 T.                  3      10     3      10     3      10        
Ugne                M.                  4      10     5      5      9      6         
Jonas               D.                  5      2      1      1      5      5         
Nojus               M.                  10     7      6      1      5      10        
Andrius             C.                  8      1      1      1      5      2         
Rokas               N.                  7      3      6      8      10     4         
Jonas               Q.                  2      1      7      1      7      6         
Adomas              S.                  2      8      4      7      3      3         
Benas               Q.                  10     2      1      10     8      9         
Markas              N.                  8      4      9      7      3      3         
Ema                 L.                  1      7      8      8      7      6         
Liepa               K.                  10     8      2      6      9      6         
Kestas              B.                  6      7      10     3      1      1         
Barbora             D.                  10     6      2      3      2      7         
Motiejus            S.                  1      1      5      8      10     4         
Emilija             V.                  3      4      8      8      4      8         
Motiejus            O.                  4      10     3      6      1      7         
Emilija             O.                  2      10     5      9      2      3         
Juozas              T.                  2      1      7      7      2      1         
Olivija             U.                  8      4      9      3      1      6         
Jonas               F.                  1      2      8      1      6      4         
Jokubas             E.                  5      9      2      4      2      7         
Olivija             J.                  6      7      9      5      5      8         
Dominykas           L.                  2      5      6      3      9      10        
Paulius             Q.                  7      6      3      1      6      8         
Petras              G.                  7      9      8      1      4      4         
Matas               A.                  2      8      6      10     8      7         
Rokas               T.                  4      8      5      6      9      8         
Motiejus            P.                  8      2      4      9      10     8         
Emilija             C.                  1      8      7      8      7      10        
Kestas              G.                  8      3      9      4      1      3         
Jonas               O.                  5      2      8      10     9      8         
Benas               S.                  5      9      1      2      7      7         
Ugne                H.                  8      8      10     4      1      4         
Paulius             O.                  8      1      6      3      9      3         
Kestas              H.                  2      8      7      7      7      4         
Rokas               O.                  3      1      8      6      5      10        
Paulius             S.                  8      10     9      4      8      2         
Lukne               O.                  2      6      8      7      8      2         
Lukas               S.                  3      1      10     3      5      1         
Paulius             T.                  4      5      9      8      4      10        
Jokubas             I.                  4      1      2      7      6      9         
Nojus               J.                  10     4      8      4      1      7         
Motiejus            C.                  8      9      10     9      1      8         
Rokas               D.                  6      10     6      7      8      9         
Adele               E.                  1      3      3      9      6      8         
Nojus               V.                  3      5      7      1      2      7         
Motiejus            H.                  1      3      7      9      6      7         
Jonas               D.                  7      2      6      7      2      1         
Olivija             G.                  5      9      3      9      9      4         
Daumantas           F.                  1      4      2      7      6      3         
Dominykas           I.                  3      8      6      1      8      5         
Juozas              Q.                  6      10     2      10     10     6         
Lukas               E.                  4      9      5      2      8      2         
Lukne               U.                  6      7      10     6      1      2         
Jonas               H.                  2      7      2      6      5      5         
Matas               Q.                  3      8      10     7      10     3         
Paulius             I.                  5      1      3      6      8      3         
Ugne                P.                  4      3      4      4      3      6         
Andrius             V.                  7      1      9      9      9      9         
Adomas              R.                  2      1      8      1      5      6         
Olivija             I.                  8      10     8      7      7      1         
Jonas               Q.                  5      5      7      8      6      1         
Barbora             B.                  6      3      6      9      4      4         
Jonas               P.                  9      3      2      8      2      5         
Paulius             O.                  5      10     10     3      8      9         
Motiejus            P.                  10     6      10     10     3      3         
Benas               L.                  6      10     6      10     7      4         
Dominykas           Q.                  5      7      7      10     8      4         
Lukas               U.                  5      10     9      6      10     2         
Daumantas           J.                  9      4      10     5      9      2         
Liepa               J.                  3      7      2      1      1      3         
Lukas               M.                  6      1      4      3      3      6         
Daumantas           O.                  5      8      1      9      3      5         
Lukne               G.                  1      4      10     7      4      2         
Juozas              H.                  7      8      1      6      10     5         
Markas              H.                  9      2      2      1      2      5         
Liepa               U.                  9      7      4      9      8      7         
Ugne                T.                  10     4      2      7      5      9         
Motiejus            N.                  10     10     9      6      2      2         
Ema                 A.                  5      3      5      2      10     2         
Lukne               F.                  6      2      1      3      8      6         
Petras              E.                  5      9      3      5      7      5         
Ema                 G.                  7      9      8      1      7      3         
Dominykas           H.                  1      9      1      6      1      3         
Jonas               D.                  6      8      4      4      3      10        
Dominykas           Q.                  1      4      6      3      2      4         
Liepa               J.                  4      4      4      1      4      4         
Andrius             B.                  5      1      2      4      9      3         
Juozas              S.                  9      8      8      5      7      9         
Amelija             D.                  9      3      2      10     2      10        
Ema                 P.                  9      10     2      10     4      2         
Lukne               U.                  1      3      9      9      7      10        
Matas               B.                  8      4      4      9      4      9         
Kestas              G.                  6      3      7      9      10     8         
Adele               G.                  10     3      6      8      7      2         
Daumantas           S.                  4      7      7      9      2      8         
Tomas               O.                  9      6      7      8      4      8         
Daumantas           N.                  3      5      9      10     2      2         
Barbora             A.                  2      10     3      10     8      3         
Dominykas           L.                  1      1      10     6      1      10        
Ugne                E.                  7      5      8      1      5      5         
Juozas              G.                  5      6      8      3      1      3         
Daumantas           L.                  6      9      4      8      1      7         
Daumantas           E.                  1      7      10     10     1      5         
Jokubas             S.                  7      8      8      7      10     6         
Petras              T.                  9      5      7      6      7      3         
Barbora             N.                  8      7      10     6      8      3         
Andrius             Q.                  9      10     6      9      5      3         
Markas              T.                  6      10     10     7      6      9         
Paulius             C.                  3      8      10     1      2      8         
Dominykas           U.                  3      7      10     4      6      6         
Motiejus            B.                  5      7      4      4      7      2         
Paulius             F.                  2      4      2      9      2      8         
Petras              K.                  5      4      4      6      7      4         
Matas               O.                  3      6      4      1      4      3         
Ema                 N.                  2      2      3      6      10     2         
Jonas               E.                  4      3      1      5      6      7         
Olivija             J.                  4      7      5      7      5      6         
Adomas              V.                  8      6      9      9      2      7         
Juozas              C.                  8      3      9      6      10     4         
Petras              T.                  2      4      3      2      1      10        
Dominykas           P.                  2      4      7      10     5      4         
Barbora             T.                  4      10     7      3      9      7         
Matas               N.                  4      1      8      4      3      2         
Benas               F.                  9      9      8      9      2      5         
Daumantas           C.                  1      9      2      9      2      4         
Jonas               C.                  9      6      1      8      9      7         
Ema                 T.                  10     1      8      3      8      9         
Lukne               E.                  6      4      8      2      9      4         
Kestas              Q.                  9      4      9      4      8      1         
Matas               G.                  9      2      2      7      8      10        
Jonas               T.                  4      5      4      6      4      3         
Dominykas           E.                  3      10     3      8      10     7         
Olivija             P.                  3      3      1      7      8      6         
Andrius             C.                  3      5      7      4      3      3         
Jonas               L.                  10     10     5      5      1      7         
Jokubas             F.                  3      10     2      3      10     10        
Markas              J.                  5      7      10     2      2      8         
Liepa               S.                  8      5      8      7      8      6         
Dominykas           E.                  3      5      10     10     9      8         
Benas               H.                  8      8      10     4      5      8         
Motiejus            V.                  8      3      10     1      3      4         
Petras              F.                  1      6      9      9      1      8         
Paulius             R.                  9      10     3      7      10     6         
Benas               L.                  5      6      7      8      7      6         
Olivija             F.                  8      1      1      5      10     9         
Emilija             E.                  1      5      5      3      9      6         
Andrius             R.                  10     5      10     6      2      5         
Emilija             G.                  3      1      6      8      9      4         
Barbora             N.                  9      10     1      8      8      2         
Jonas               M.                  2      1      3      4      8      6         
Lukne               V.                  5      1      4      4      10     5         
Jonas               C.                  6      8      9      3      3      7         
Lukne               N.                  5      10     10     10     8      4         
Paulius             D.                  7      6      6      3      1      2         
Amelija             B.                  7      10     10     5      8      2         
Lukas               O.                  9      8      5      9      10     10        
Kestas              H.                  10     8      8      3      7      2         
Rokas               Q.                  8      5      6      5      5      1         
Nojus               T.                  3      2      3      10     7      6         
Paulius             O.                  4      1      5      6      4      3         
Benas               A.                  9      9      7      1      1      4         
Paulius             P.                  1      5      7      3      5      7         
Ema                 G.                  8      10     3      4      10     1         
Kestas              D.                  4      9      2      7      6      10        
Daumantas           K.                  10     9      9      1      10     7         
Dominykas           L.                  4      1      7      2      7      1         
Jonas               F.                  1      1      7      10     2      2         
Kestas              B.                  3      8      2      6      1      8         
Tomas               D.                  8      3      8      2      7      6         
Amelija             G.                  9      7      1      1      6      8         
Adomas              F.                  2      6      3      5      9      8         
Juozas              K.                  5      4      1      3      6      3         
Jonas               J.                  3      10     3      2      4      10        
Jonas               L.                  6      3      10     8      7      10        
Paulius             I.                  9      2      1      7      10     9         
Amelija             T.                  3      9      10     9      8      1         
Liepa               P.                  6      6      8      3      7      4         
Jonas               F.                  4      2      5      2      7      1         
Dominykas           O.                  2      1      7      8      8      5         
Benas               F.                  8      4      9      6      3      4         
Lukne               Q.                  5      9      5      2      3      3         
Amelija             C.                  1      6      5      1      9      4         
Jonas               B.                  10     9      8      8      9      8         
Matas               S.                  3      4      3      3      2      1         
Jokubas             K.                  9      10     6      6      6      3         
Jokubas             J.                  6      7      9      4      1      1         
Andrius             K.                  7      4      6      6      7      8         
Barbora             J.                  1      8      10     7      10     4         
Andrius             O.                  9      9      5      6      7      1         
Amelija             P.                  3      9      10     8      2      2         
Rokas               I.                  1      5      3      7      2      9         
Benas               K.                  5      8      3      1      4      9         
Petras              N.                  4      9      5      8      1      4         
Juozas              C.                  6      9      5      1      8      8         
Liepa               I.                  4      6      9      8      9      10        
Andrius             H.                  8      7      10     1      10     8         
Emilija             M.                  10     2      1      10     8      5         
Liepa               C.                  7      9      1      3      10     8         
Benas               S.                  9      7      6      7      3      1         
Benas               E.                  3      10     9      2      7      9         
Jonas               C.                  9      7      2      9      7      3         
Lukas               A.                  10     6      4      8      8      4         
Lukne               D.                  3      1      8      6      3      3         
Rokas               C.                  3      1      2      9      8      7         
Liepa               L.                  7      2      3      4      4      5         
Liepa               K.                  4      5      6      5      8      2         
Motiejus            G.                  10     10     4      2      2      3         
Adomas              U.                  9      7      8      6      9      7         
Motiejus            L.                  2      10     7      6      7      5         
Andrius             E.                  10     9      2      9      1      10        
Adomas              B.                  8      1      6      6      7      5         
Andrius             E.                  1      7      2      8      3      10        
Kestas              L.                  7      6      4      4      8      1         
Matas               U.                  5      1      7      7      2      1         
Tomas               C.                  7      2      3      7      9      9         
Tomas               C.                  10     5      7      3      5      2         
Andrius             M.                  8      1      8      1      5      7         
Daumantas           L.                  6      10     2      4      3      6         
Jonas               N.                  3      10     4      6      7      6         
Olivija             K.                  2      4      9      5      4      1         
Matas               H.                  6      10     9      6      3      6         
Juozas              K.                  4      3      2      10     4      5         
Motiejus            D.                  7      9      7      1      1      10        
Dominykas           C.                  3      1      2      8      10     7         
Lukne               M.                  9      10     3      10     2      2         
Amelija             H.                  6      8      2      7      7      9         
Barbora             T.                  9      7      7      6      10     8         
Markas              N.                  9      8      6      8      10     10        
Rokas               S.                  8      3      6      4      7      10        
Adele               K.                  9      4      1      2      4      9         
Jonas               P.                  3      5      2      5      8      2         
Lukne               U.                  8      3      2      4      2      4         
Lukne               N.                  10     7      10     3      10     10        
Jonas               M.                  1      3      2      1      1      4         
Ugne                O.                  3      10     8      9      4      8         
Rokas               Q.                  10     5      1      8      1      5         
Ugne                H.                  6      8      9      9      5      6         
Jonas               S.                  1      2      8      2      8      1         
Motiejus            M.                  1      8      6      2      3      1         
Jonas               C.                  8      3      10     10     1      8         
Jokubas             K.                  7      8      8      5      2      1         
Adele               M.                  6      6      1      9      3      8         
Rokas               S.                  6      3      4      10     10     1         
Barbora             S.                  2      2      4      8      6      2         
Matas               B.                  6      7      10     2      4      1         
Olivija             F.                  8      6      4      3      6      2         
Lukas               T.                  4      5      7      3      1      9         
Olivija             I.                  4      10     2      6      2      6         
Adomas              F.                  9      2      5      8      9      9         
Kestas              T.                  7      7      10     10     7      2         
Matas               S.                  7      9      5      2      5      4         
Olivija             D.                  9      7      5      3      3      6         
Andrius             Q.                  5      8      5      7      5      2         
Ema                 F.                  7      4      8      4      9      9         
Motiejus            T.                  9      10     9      4      2      7         
Daumantas           M.                  8      7      6      4      7      7         
Emilija             J.                  8      5      6      3      10     4         
Adele               R.                  6      1      1      8      9      3         
Tomas               U.                  9      7      4      4      1      6         
Lukne               J.                  5      9      9      5      10     2         
Lukne               G.                  5      9      4      2      10     7         
Rokas               B.                  5      1      1      7      2      10        
Jonas               I.                  4      2      3      6      7      6         
Adomas              I.                  3      6      4      10     5      6         
Amelija             P.                  6      9      1      2      9      5         
Jokubas             A.                  1      10     8      8      6      9         
Markas              L.                  4      9      7      8      1      6         
Tomas               T.                  2      3      10     10     3      7         
Juozas              K.                  3      7      9      3      1      3         
Jonas               T.                  6      5      2      3      5      9         
Lukas               G.                  2      4      6      5      4      3         
Nojus               S.                  9      5      3      5      3      7         
Daumantas           R.                  5      3      9      7      7      2         
Jonas               M.                  10     9      1      5      3      3         
Olivija             E.                  7      1      4      1      6      4         
Dominykas           H.                  5      6      4      6      3      3         
Tomas               N.                  6      6      10     8      4      5         
Lukne               C.                  9      8      8      5      8      2         
Andrius             U.                  2      10     8      4      8      8         
Olivija             B.                  1      4      9      7      9      1         
Tomas               B.                  3      8      8      7      6      1         
Jonas               E.                  10     5      3      9      10     2         
Dominykas           R.                  10     7      1      1      3      10        
Barbora             C.                  9      2      4      4      6      6         
Emilija             N.                  6      6      9      2      10     5         
Nojus               N.                  4      3      3      10     3      10        
Jonas               B.                  2      10     4      1      7      2         
Matas               T.                  4      3      4      4      3      8         
Dominykas           N.                  9      10     9      1      4      2         
Petras              N.                  3      4      8      3      3      8         
Dominykas           T.                  2      1      8      6      8      4         
Jokubas             L.                  4      2      1      10     9      5         
Emilija             H.                  10     4      8      2      9      4         
Emilija             V.                  3      8      7      7      3      5         
Liepa               N.                  5      5      7      10     6      4         
Andrius             N.                  10     7      1      3      1      5         
Olivija             K.                  3      3      6      2      1      4         
Matas               L.                  9      8      7      6      4      4         
