Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Benas               D.                  9      1      6      5      2      10        
Jonas               T.                  2      2      6      6      6      8         
Petras              C.                  4      10     5      5      2      10        
Jonas               I.                  5      3      6      9      8      4         
Emilija             Q.                  2      6      10     9      3      6         
Adomas              I.                  2      10     3      4      8      2         
Adele               N.                  10     5      6      1      2      1         
Matas               U.                  6      10     5      1      8      4         
Emilija             B.                  7      10     2      6      5      9         
Liepa               C.                  3      3      10     6      10     5         
Lukne               P.                  4      2      5      10     8      4         
Petras              B.                  5      3      7      1      9      8         
Jonas               M.                  10     8      6      9      10     6         
Jokubas             B.                  8      7      2      7      2      5         
Olivija             C.                  4      8      10     5      7      5         
Daumantas           C.                  10     8      9      6      7      4         
Andrius             R.                  10     5      10     3      3      8         
Jonas               K.                  9      10     5      6      8      7         
Tomas               V.                  4      10     4      8      10     8         
Matas               N.                  6      10     7      7      5      4         
Lukas               B.                  5      7      7      6      1      7         
Daumantas           A.                  10     3      8      6      6      8         
Adomas              R.                  6      3      2      6      5      10        
Ugne                P.                  7      6      2      5      8      7         
Adele               J.                  1      9      10     1      5      2         
Lukne               T.                  10     1      10     5      2      8         
Jokubas             I.                  2      4      1      7      10     6         
Andrius             V.                  4      6      3      9      7      7         
Lukas               K.                  8      1      9      1      4      6         
Tomas               R.                  1      10     1      2      1      7         
Lukne               P.                  2      1      4      4      8      10        
Barbora             Q.                  8      4      7      3      3      3         
Paulius             E.                  8      7      3      3      1      1         
Jonas               E.                  1      3      4      2      7      4         
Adomas              S.                  1      5      7      8      10     1         
Ema                 P.                  5      4      6      5      10     6         
Rokas               S.                  5      10     3      3      3      5         
Petras              B.                  10     2      10     2      9      2         
Olivija             G.                  6      6      5      2      3      5         
Benas               L.                  9      4      8      9      9      6         
Lukne               O.                  9      5      7      1      1      3         
Liepa               L.                  7      9      10     5      1      6         
Andrius             L.                  10     1      2      9      2      10        
Kestas              N.                  4      7      8      3      5      8         
Adomas              U.                  4      3      10     1      4      2         
Daumantas           I.                  1      1      9      7      8      6         
Nojus               L.                  10     7      1      9      1      9         
Nojus               K.                  9      8      9      6      2      7         
Jonas               S.                  8      2      4      3      3      2         
Dominykas           J.                  6      1      10     10     10     8         
Dominykas           O.                  3      2      6      10     3      8         
Matas               R.                  9      2      5      5      3      8         
Ugne                B.                  3      6      6      5      2      9         
Barbora             H.                  2      8      8      8      6      7         
Dominykas           E.                  8      6      8      7      2      10        
Amelija             V.                  1      10     2      10     2      7         
Lukas               P.                  5      4      6      9      6      9         
Jonas               J.                  7      1      6      4      1      10        
Motiejus            D.                  1      3      1      2      8      10        
Motiejus            S.                  8      9      2      1      7      6         
Olivija             B.                  10     8      7      8      8      9         
Jokubas             L.                  7      2      6      7      7      1         
Daumantas           U.                  4      10     7      3      7      1         
Barbora             P.                  4      6      3      9      9      10        
Rokas               B.                  3      1      5      7      8      8         
Lukne               N.                  6      8      8      4      9      5         
Adele               D.                  10     2      1      10     5      5         
Barbora             A.                  6      1      10     2      5      7         
Lukas               C.                  5      10     3      6      8      5         
Olivija             N.                  9      6      6      5      8      2         
Adele               L.                  3      9      9      7      10     1         
Kestas              S.                  2      8      8      10     3      3         
Emilija             Q.                  10     2      2      7      9      6         
Paulius             M.                  6      10     1      2      6      10        
Rokas               T.                  10     3      10     2      1      9         
Jonas               O.                  8      5      5      7      8      3         
Juozas              S.                  3      8      5      10     9      10        
Barbora             P.                  8      1      7      5      3      5         
Tomas               V.                  10     9      5      10     2      1         
Adele               J.                  9      9      8      3      7      1         
Juozas              J.                  4      10     7      4      8      7         
Paulius             H.                  4      8      1      3      10     4         
Juozas              E.                  10     9      7      10     9      1         
Nojus               H.                  3      2      1      9      2      8         
Daumantas           K.                  5      3      9      8      4      7         
Adomas              M.                  3      1      2      3      4      1         
Kestas              F.                  1      4      9      6      2      4         
Markas              O.                  6      9      3      3      7      8         
Motiejus            J.                  10     10     1      4      5      9         
Nojus               R.                  7      10     5      2      2      8         
Daumantas           O.                  2      7      7      9      10     3         
Paulius             Q.                  10     4      5      4      7      6         
Daumantas           H.                  8      6      5      7      5      7         
Lukne               C.                  7      5      10     1      1      9         
Liepa               D.                  4      10     10     1      8      7         
Barbora             G.                  6      9      3      4      1      4         
Ema                 D.                  6      8      6      1      2      2         
Motiejus            K.                  5      10     9      10     3      10        
Amelija             O.                  1      3      1      1      3      2         
Liepa               S.                  6      6      5      9      9      4         
Nojus               N.                  1      10     9      8      2      8         
Barbora             P.                  6      4      8      9      2      7         
Ema                 E.                  2      5      1      9      9      5         
Lukne               R.                  4      6      4      10     6      8         
Olivija             N.                  4      3      10     5      2      2         
Ema                 G.                  5      7      4      10     9      6         
Daumantas           C.                  7      9      4      8      7      7         
Lukas               P.                  7      3      8      8      3      7         
Jonas               J.                  1      1      4      7      8      9         
Lukas               L.                  9      3      9      10     2      3         
Nojus               A.                  8      6      6      7      6      8         
Juozas              F.                  1      9      2      2      1      1         
Adele               L.                  4      6      9      6      5      5         
Olivija             H.                  10     9      5      9      9      8         
Adomas              G.                  2      8      4      9      8      2         
Jonas               F.                  7      2      1      9      4      2         
Markas              E.                  2      8      8      9      10     2         
Lukne               P.                  4      5      9      5      3      5         
Lukne               B.                  5      1      6      8      3      9         
Tomas               E.                  6      6      8      1      8      5         
Lukas               D.                  7      10     1      5      3      5         
Olivija             E.                  6      6      5      9      1      10        
Paulius             L.                  8      6      9      8      7      5         
Tomas               J.                  10     7      5      7      7      8         
Liepa               L.                  4      10     7      2      1      10        
Kestas              I.                  8      2      5      5      5      7         
Emilija             D.                  3      7      8      10     7      1         
Matas               D.                  10     9      7      1      4      8         
Benas               A.                  2      3      4      2      3      8         
Adele               E.                  3      7      6      8      7      2         
Petras              C.                  1      4      7      3      1      2         
Barbora             H.                  5      10     9      1      10     4         
Olivija             R.                  6      1      10     6      10     1         
Ema                 V.                  8      6      8      3      2      9         
Ema                 C.                  8      6      2      8      10     3         
Nojus               N.                  6      8      4      4      4      7         
Paulius             U.                  2      4      9      10     5      10        
Petras              C.                  7      3      8      8      10     4         
Jonas               G.                  5      8      4      6      2      8         
Amelija             M.                  1      9      6      5      5      1         
Benas               N.                  3      6      5      10     6      6         
Kestas              K.                  4      5      8      7      5      7         
Jonas               H.                  5      3      10     8      7      7         
Motiejus            P.                  2      2      5      5      10     7         
Adele               H.                  4      7      8      9      5      5         
Paulius             O.                  4      7      6      8      3      6         
Olivija             J.                  8      6      8      1      9      5         
Olivija             A.                  10     2      1      1      6      6         
Dominykas           D.                  5      5      8      6      9      3         
Markas              G.                  10     8      5      8      1      1         
Paulius             O.                  10     8      1      10     1      10        
Adele               C.                  5      10     10     10     4      3         
Markas              H.                  8      7      10     7      6      3         
Adele               J.                  3      8      9      4      1      3         
Amelija             V.                  7      4      3      2      2      7         
Nojus               Q.                  7      3      10     5      10     7         
Jokubas             R.                  5      1      7      7      2      2         
Andrius             P.                  6      1      8      8      2      3         
Ugne                K.                  10     9      2      8      10     7         
Andrius             P.                  5      10     2      1      8      4         
Adomas              U.                  5      4      4      4      7      10        
Nojus               R.                  5      2      1      4      3      3         
Jokubas             I.                  8      9      5      6      7      3         
Liepa               M.                  1      5      10     6      1      1         
Ugne                R.                  10     10     5      6      6      4         
Emilija             C.                  3      5      1      4      5      1         
Rokas               D.                  4      8      9      5      4      2         
Lukne               K.                  7      2      3      2      4      7         
Andrius             F.                  9      7      10     10     8      4         
Amelija             O.                  2      8      1      4      6      9         
Ema                 Q.                  6      1      4      6      9      10        
Emilija             S.                  2      5      7      3      6      2         
Barbora             R.                  1      8      1      1      8      7         
Petras              V.                  4      10     2      5      2      6         
Andrius             I.                  10     4      6      7      10     9         
Nojus               V.                  6      9      8      1      2      5         
Lukas               T.                  3      1      3      8      2      10        
Emilija             I.                  4      4      7      9      9      6         
Lukne               N.                  6      10     9      6      10     9         
Nojus               G.                  5      10     6      5      8      5         
Juozas              L.                  9      8      10     6      1      5         
Matas               K.                  9      9      1      7      6      10        
Adomas              E.                  8      5      1      9      2      9         
Andrius             J.                  3      5      5      6      2      3         
Rokas               P.                  5      7      2      8      2      2         
Barbora             J.                  6      4      10     4      6      1         
Adele               C.                  2      8      3      6      8      2         
Adele               N.                  9      10     6      10     5      7         
Tomas               P.                  10     10     4      9      2      8         
Matas               L.                  1      9      4      8      7      9         
Adele               U.                  4      9      4      7      5      1         
Lukne               J.                  7      7      3      3      7      7         
Ugne                I.                  1      6      7      6      4      8         
Daumantas           A.                  3      10     8      3      3      9         
Lukas               V.                  1      1      1      8      8      9         
Dominykas           I.                  3      4      7      8      5      6         
Daumantas           V.                  7      10     6      8      9      8         
Daumantas           S.                  2      7      10     6      6      4         
Liepa               N.                  5      2      1      6      1      2         
Dominykas           A.                  9      3      1      6      10     5         
Kestas              I.                  6      10     5      2      8      9         
Nojus               R.                  8      2      2      8      1      5         
Liepa               U.                  10     4      1      7      7      6         
Lukas               F.                  10     3      5      2      1      7         
Barbora             J.                  8      10     2      3      1      10        
Emilija             H.                  8      2      4      3      10     5         
Kestas              Q.                  2      9      4      4      4      10        
Rokas               A.                  1      4      10     5      3      9         
Paulius             I.                  3      8      1      3      5      10        
Jonas               I.                  1      10     3      3      8      6         
Tomas               L.                  2      2      5      8      1      5         
Emilija             T.                  5      2      3      7      8      5         
Motiejus            K.                  2      4      6      6      6      9         
Ugne                Q.                  3      4      8      1      5      10        
Barbora             G.                  1      9      5      2      10     2         
Markas              V.                  5      9      10     3      8      1         
Ema                 J.                  9      9      3      10     5      1         
Daumantas           S.                  6      6      8      8      8      5         
Kestas              J.                  5      2      2      1      1      9         
Jonas               U.                  6      1      10     2      1      10        
Benas               E.                  4      8      1      8      8      4         
Emilija             S.                  2      5      6      2      9      7         
Juozas              P.                  7      7      6      8      9      5         
Jonas               Q.                  4      2      10     1      5      2         
Rokas               E.                  10     7      6      9      2      10        
Tomas               H.                  3      1      5      6      2      7         
Ema                 G.                  8      9      10     4      1      10        
Amelija             S.                  2      8      3      6      3      8         
Barbora             G.                  9      2      9      7      9      9         
Markas              E.                  4      5      6      4      5      6         
Emilija             D.                  7      10     9      7      10     1         
Amelija             B.                  6      5      5      7      6      5         
Barbora             A.                  9      1      9      1      4      4         
Ugne                Q.                  6      2      5      4      4      10        
Amelija             I.                  4      9      1      7      5      3         
Tomas               B.                  2      10     9      1      5      8         
Petras              H.                  4      7      5      7      6      5         
Adomas              E.                  1      8      9      7      9      10        
Lukne               N.                  8      9      9      5      1      1         
Ema                 M.                  6      4      8      1      7      1         
Adele               H.                  3      9      3      8      1      10        
Liepa               U.                  6      2      8      4      7      3         
Amelija             L.                  10     6      1      9      4      9         
Juozas              D.                  2      10     2      5      6      6         
Ema                 G.                  8      2      7      8      7      2         
Ugne                L.                  10     6      10     1      6      10        
Ema                 H.                  4      5      7      8      10     9         
Amelija             D.                  2      1      4      9      8      4         
Jonas               O.                  3      2      10     3      8      8         
Dominykas           R.                  8      6      2      8      10     3         
Nojus               A.                  8      9      4      8      5      1         
Adele               V.                  1      3      5      10     1      5         
Dominykas           I.                  9      10     4      3      6      6         
Markas              C.                  3      5      7      10     5      9         
Lukne               I.                  9      9      8      2      9      6         
Paulius             B.                  8      5      10     2      8      1         
Olivija             I.                  4      2      2      4      7      8         
Kestas              M.                  4      9      2      3      10     10        
Emilija             F.                  10     9      5      10     2      6         
Daumantas           V.                  1      2      10     1      2      10        
Ema                 F.                  6      5      9      8      10     3         
Jonas               V.                  6      8      1      1      7      2         
Barbora             L.                  9      8      6      8      1      5         
Dominykas           Q.                  4      7      8      7      5      10        
Liepa               D.                  4      5      3      5      10     7         
Olivija             G.                  4      3      5      1      6      2         
Motiejus            U.                  9      9      4      1      6      4         
Lukne               N.                  2      1      3      3      6      7         
Lukas               K.                  1      3      1      9      7      5         
Barbora             Q.                  6      7      4      4      2      5         
Andrius             S.                  5      8      10     2      2      2         
Olivija             M.                  6      7      4      1      10     6         
Lukne               T.                  4      4      1      4      6      2         
Liepa               P.                  7      6      7      3      1      1         
Petras              B.                  4      10     6      10     8      9         
Adomas              M.                  8      1      7      10     6      5         
Adomas              Q.                  5      8      7      6      6      4         
Nojus               P.                  9      1      3      10     1      6         
Markas              E.                  5      2      2      7      2      6         
Juozas              L.                  3      9      7      2      2      7         
Nojus               K.                  1      4      8      7      5      8         
Liepa               K.                  7      8      2      5      3      2         
Markas              O.                  9      6      3      5      1      7         
Markas              T.                  9      2      4      7      2      5         
Petras              J.                  5      7      2      2      3      8         
Ema                 K.                  5      10     9      5      6      5         
Jonas               G.                  9      3      9      3      2      2         
Markas              E.                  4      1      3      5      1      2         
Juozas              N.                  5      5      3      1      8      9         
Rokas               R.                  4      9      3      3      5      6         
Benas               N.                  1      5      4      4      7      5         
Andrius             S.                  2      7      4      4      10     2         
Emilija             I.                  6      4      8      6      10     9         
Adele               S.                  3      2      1      8      6      9         
Benas               H.                  10     6      9      4      6      6         
Motiejus            J.                  9      1      7      4      10     6         
Adele               K.                  3      6      6      8      7      1         
Lukas               F.                  8      1      6      4      10     9         
Amelija             I.                  9      2      5      5      7      8         
Ugne                K.                  3      4      7      6      7      4         
Matas               T.                  7      10     6      9      6      8         
Paulius             A.                  4      9      3      3      5      3         
Adomas              J.                  5      7      8      3      10     8         
Barbora             O.                  6      4      6      8      7      6         
Emilija             M.                  10     10     6      1      7      4         
Nojus               I.                  1      2      2      5      2      5         
Rokas               B.                  3      7      2      3      8      4         
Adele               C.                  6      7      9      8      5      7         
Nojus               A.                  9      7      5      3      5      3         
Emilija             G.                  3      6      9      6      10     5         
Adele               A.                  7      3      3      2      8      5         
Lukne               M.                  9      4      10     6      1      7         
Ema                 S.                  10     8      8      3      3      9         
Dominykas           P.                  5      5      5      5      4      9         
Amelija             D.                  7      3      7      8      10     10        
Amelija             N.                  5      4      7      7      8      1         
Markas              T.                  7      9      6      1      3      9         
Emilija             B.                  2      2      3      2      5      9         
Olivija             U.                  7      3      7      5      4      8         
Nojus               H.                  3      6      10     4      1      2         
Nojus               C.                  10     1      7      2      3      7         
Paulius             G.                  10     9      9      10     10     1         
Andrius             F.                  10     2      3      8      6      9         
Jokubas             N.                  3      4      9      9      10     6         
Liepa               D.                  7      4      5      3      7      1         
Olivija             T.                  2      1      7      9      3      2         
Adomas              I.                  5      10     10     2      3      10        
Amelija             K.                  5      7      5      3      10     7         
Adele               O.                  6      4      7      7      8      9         
Ugne                O.                  3      1      7      3      3      4         
Jonas               K.                  6      8      5      3      6      2         
Paulius             T.                  10     8      6      4      6      2         
Markas              T.                  5      6      2      6      4      1         
Andrius             B.                  8      6      6      2      2      2         
Kestas              R.                  10     6      3      1      8      2         
Jonas               E.                  4      3      5      2      3      4         
Adele               P.                  1      4      3      5      9      4         
Olivija             P.                  2      3      8      9      2      10        
Andrius             A.                  3      3      3      4      7      7         
Ema                 S.                  1      10     8      3      2      9         
Dominykas           U.                  3      9      1      3      6      3         
Daumantas           M.                  2      2      8      7      4      1         
Motiejus            L.                  9      4      3      2      10     6         
Benas               T.                  2      7      7      10     1      6         
Barbora             V.                  8      6      6      5      9      10        
Jokubas             P.                  7      3      3      5      3      10        
Daumantas           I.                  10     7      2      5      3      7         
Markas              S.                  10     10     5      2      5      4         
Paulius             A.                  2      8      1      6      3      8         
Motiejus            U.                  6      8      3      5      10     2         
Ema                 K.                  2      8      9      7      7      9         
Jonas               G.                  3      6      4      3      5      7         
Liepa               A.                  7      6      1      10     9      6         
Benas               E.                  7      7      5      10     5      9         
Ema                 B.                  6      5      4      5      10     9         
Amelija             E.                  8      5      10     6      2      4         
Tomas               V.                  10     5      1      6      5      6         
Rokas               G.                  9      4      6      1      4      9         
Tomas               R.                  7      3      9      3      3      10        
Petras              P.                  1      5      8      5      9      9         
Jonas               Q.                  6      6      9      7      2      1         
Jonas               A.                  2      3      5      5      7      4         
Paulius             K.                  5      2      6      5      7      10        
Benas               O.                  6      1      8      5      5      6         
Adomas              H.                  4      2      7      2      5      2         
Lukas               N.                  9      6      3      2      5      7         
Jokubas             U.                  10     8      5      4      5      8         
Amelija             L.                  2      7      1      4      3      4         
